dataset,breeds_name,testset,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,nonliving26,val_target,0.696958,0.576175,0.431048,0.340840,0.001153,0.000446,0.094084
breeds,nonliving26,val_target,0.707048,0.569277,0.421022,0.330758,0.001083,0.000446,0.091857
breeds,nonliving26,val_target,0.717154,0.562756,0.410967,0.320662,0.001032,0.000446,0.088791
breeds,nonliving26,val_target,0.727259,0.555663,0.400915,0.310574,0.000972,0.000430,0.086594
breeds,nonliving26,val_target,0.737349,0.548735,0.391025,0.300570,0.000629,0.000283,0.083931
breeds,nonliving26,val_target,0.747455,0.541611,0.380932,0.290470,0.000629,0.000283,0.081386
breeds,nonliving26,val_target,0.757560,0.534307,0.370847,0.280391,0.000614,0.000239,0.078962
breeds,nonliving26,val_target,0.767651,0.526837,0.360797,0.270306,0.000554,0.000239,0.076764
breeds,nonliving26,val_target,0.777756,0.519593,0.350802,0.260253,0.000329,0.000131,0.073808
breeds,nonliving26,val_target,0.787861,0.511627,0.340723,0.250177,0.000284,0.000069,0.072311
breeds,nonliving26,val_target,0.797967,0.503870,0.330663,0.240073,0.000186,0.000069,0.070062
breeds,nonliving26,val_target,0.808057,0.496310,0.320598,0.230010,0.000128,0.000000,0.067216
breeds,nonliving26,val_target,0.818163,0.488825,0.310516,0.219905,0.000070,0.000000,0.063763
breeds,nonliving26,val_target,0.828268,0.481039,0.300412,0.209800,0.000070,0.000000,0.060715
breeds,nonliving26,val_target,0.838358,0.473027,0.290323,0.199709,0.000070,0.000000,0.058047
breeds,nonliving26,val_target,0.848464,0.464729,0.280219,0.189604,0.000070,0.000000,0.055914
breeds,nonliving26,val_target,0.858569,0.456611,0.270115,0.179498,0.000070,0.000000,0.052934
breeds,nonliving26,val_target,0.868660,0.448178,0.260026,0.169408,0.000070,0.000000,0.050733
breeds,nonliving26,val_target,0.878765,0.439789,0.249922,0.159303,0.000070,0.000000,0.047878
breeds,nonliving26,val_target,0.888870,0.431340,0.239818,0.149197,0.000070,0.000000,0.044851
breeds,nonliving26,val_target,0.898976,0.422952,0.229729,0.139092,0.000000,0.000000,0.040768
breeds,nonliving26,val_target,0.909066,0.414096,0.219638,0.129001,0.000000,0.000000,0.038519
breeds,nonliving26,val_target,0.919172,0.405407,0.209533,0.118896,0.000000,0.000000,0.034406
breeds,nonliving26,val_target,0.929277,0.396175,0.199427,0.108791,0.000000,0.000000,0.033235
breeds,nonliving26,val_target,0.939367,0.387048,0.189337,0.098700,0.000000,0.000000,0.031033
breeds,nonliving26,val_target,0.949473,0.377937,0.179232,0.088595,0.000000,0.000000,0.027316
breeds,nonliving26,val_target,0.959578,0.368524,0.169126,0.078489,0.000000,0.000000,0.025442
breeds,nonliving26,val_target,0.969669,0.359307,0.159036,0.068399,0.000000,0.000000,0.019753
breeds,nonliving26,val_target,0.979774,0.349864,0.148930,0.058294,0.000000,0.000000,0.013304
breeds,nonliving26,val_target,0.989880,0.340151,0.138825,0.048188,0.000000,0.000000,0.006579
breeds,nonliving26,val_target,0.999985,0.330196,0.128720,0.038083,0.000000,0.000000,0.000000
breeds,nonliving26,imagenet_val_source,0.000000,0.932692,0.982929,0.987933,0.017071,0.012067,0.067308
breeds,nonliving26,imagenet_val_source,0.010000,0.938846,0.978217,0.985812,0.014573,0.008210,0.059806
breeds,nonliving26,imagenet_val_source,0.020000,0.940385,0.972128,0.977359,0.012726,0.007504,0.054553
breeds,nonliving26,imagenet_val_source,0.030000,0.939615,0.965136,0.970496,0.011307,0.005964,0.050357
